ZIPCode,State,City,Latitude,Longitude
43107,OH,Bremen,39.7,-82.42
43107,OH,Hideaway Hls,39.7,-82.42
43107,OH,Hide Away Hills,39.7,-82.42
43109,OH,Brice,39.92,-82.83
43110,OH,Canal Winchester,39.86,-82.81
43110,OH,Canal Whchstr,39.86,-82.81
43110,OH,Canal Wnchstr,39.86,-82.81
43110,OH,Cnl Wnchstr,39.86,-82.81
43111,OH,Carbon Hill,39.5,-82.24
43112,OH,Carroll,39.8,-82.71
43113,OH,Circleville,39.6,-82.95
43113,OH,Thatcher,39.6,-82.95
43115,OH,Clarksburg,39.5,-83.16
43116,OH,Commercial Point,39.77,-83.06
43116,OH,Commercial Pt,39.77,-83.06
43117,OH,Derby,39.77,-83.21
43119,OH,Galloway,39.94,-83.18
43123,OH,Grove City,39.88,-83.07
43123,OH,Darbydale,39.88,-83.07
43123,OH,Urbancrest,39.88,-83.07
43125,OH,Groveport,39.86,-82.89
43126,OH,Harrisburg,39.81,-83.17
43127,OH,Haydenville,39.48,-82.33
43128,OH,Jeffersonville,39.64,-83.58
43128,OH,Jeffersonvlle,39.64,-83.58
43130,OH,Lancaster,39.71,-82.61
43135,OH,Laurelville,39.46,-82.7
43136,OH,Lithopolis,39.8,-82.81
43137,OH,Lockbourne,39.82,-82.98
43138,OH,Logan,39.53,-82.41
43140,OH,London,39.9,-83.44
43140,OH,Summerford,39.9,-83.44
43142,OH,Milledgeville,39.59,-83.59
43143,OH,Mount Sterling,39.72,-83.28
43143,OH,Mt Sterling,39.72,-83.28
43144,OH,Murray City,39.51,-82.17
43145,OH,New Holland,39.56,-83.26
43146,OH,Orient,39.78,-83.15
43146,OH,Darbyville,39.78,-83.15
43146,OH,Pleasant Corners,39.78,-83.15
43146,OH,Pleasant Cors,39.78,-83.15
43147,OH,Pickerington,39.9,-82.76
43147,OH,Etna,39.9,-82.76
43148,OH,Pleasantville,39.81,-82.51
43149,OH,Rockbridge,39.55,-82.56
43150,OH,Rushville,39.78,-82.41
43150,OH,W Rushville,39.78,-82.41
43150,OH,West Rushville,39.78,-82.41
43151,OH,Sedalia,39.73,-83.48
43152,OH,South Bloomingville,39.39,-82.62
43152,OH,Laurelville,39.39,-82.62
43152,OH,S Bloomingvil,39.39,-82.62
43152,OH,S Bloomingville,39.39,-82.62
43152,OH,So Bloomingville,39.39,-82.62
43153,OH,South Solon,39.72,-83.56
43154,OH,Stoutsville,39.61,-82.83
43155,OH,Sugar Grove,39.63,-82.51
43156,OH,Tarlton,39.56,-82.78
43156,OH,Laurelville,39.56,-82.78
43157,OH,Thurston,39.84,-82.55
43158,OH,Union Furnace,39.46,-82.36
43160,OH,Washington Court House,39.54,-83.44
43160,OH,Wshngtn Ct Hs,39.54,-83.44
43160,OH,Washingtn C H,39.54,-83.44
43160,OH,Washington Ch,39.54,-83.44
43162,OH,West Jefferson,39.94,-83.29
43162,OH,W Jefferson,39.94,-83.29
43164,OH,Williamsport,39.6,-83.12
43194,OH,Lockbourne,39.81,-82.97
43194,OH,Shared Zip Code,39.81,-82.97
43195,OH,Groveport,39.85,-82.89
43195,OH,Gap Inc Direct,39.85,-82.89
43199,OH,Groveport,39.86,-82.9
43199,OH,Dist Fulfillment Svc,39.86,-82.9
43201,OH,Columbus,39.99,-83
43202,OH,Columbus,40.02,-83.01
43203,OH,Columbus,39.97,-82.97
43204,OH,Columbus,39.96,-83.08
43204,OH,San Margherita,39.96,-83.08
